id_copia;id_pelicula
1;1
2;1
3;2
4;2
5;3
6;3
7;3
8;4
9;4
10;4
11;4
12;5
13;5
14;5
15;5
16;6
17;6
18;7
19;7
20;7
21;7
22;8
23;8
24;8
25;9
26;9
27;10
28;10
29;10
30;10
31;11
32;11
33;11
34;11
35;12
36;12
37;12
38;13
39;13
40;13
41;14
42;14
43;14
44;14
45;15
46;15
47;15
48;16
49;16
50;16
51;17
52;17
53;17
54;17
55;18
56;18
57;19
58;19
59;20
60;20
61;20
62;21
63;21
64;22
65;22
66;22
67;23
68;23
69;23
70;24
71;24
72;25
73;25
74;25
75;25
76;26
77;26
78;26
79;27
80;27
81;27
82;28
83;28
84;29
85;29
86;30
87;30
88;30
89;30
90;31
91;31
92;31
93;31
94;32
95;32
96;32
97;33
98;33
99;33
... (209 líneas restantes)
